DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,PCODE2,centroid_lon,centroid_lat
0,2011,1210,BUENA FE,12,LOS RIOS,EC1210,-79.4815842290711,-0.7213504367152634
0,2011,1211,VALENCIA,12,LOS RIOS,EC1211,-79.30662706148237,-0.7775151773743628
0,2011,1212,MOCACHE,12,LOS RIOS,EC1212,-79.54982178746077,-1.1896557746823222
0,2011,1213,QUINSALOMA,12,LOS RIOS,EC1213,-79.35630756857091,-1.139935329605169
0,2011,1301,PORTOVIEJO,13,MANABI,EC1301,-80.36458232310176,-1.041023927417602
0,2011,1302,BOLIVAR,13,MANABI,EC1302,-80.03392055534124,-0.9095858381317641
0,2011,1303,CHONE,13,MANABI,EC1303,-79.95562439323332,-0.4646370102388665
0,2011,1304,EL CARMEN,13,MANABI,EC1304,-79.56314505202477,-0.3429801365245419
0,2011,1305,FLAVIO ALFARO,13,MANABI,EC1305,-79.81741718658041,-0.3250914329554773
0,2011,1306,JIPIJAPA,13,MANABI,EC1306,-80.59092236518929,-1.445484972416984
0,2011,1307,JUNIN,13,MANABI,EC1307,-80.19528210997417,-0.9416860186381679
0,2011,1308,MANTA,13,MANABI,EC1308,-80.80347186452302,-1.0270594734811238
0,2011,1309,MONTECRISTI,13,MANABI,EC1309,-80.69954260816478,-1.12813837596994
0,2011,1310,PAJAN,13,MANABI,EC1310,-80.39793460954724,-1.6617305285123722
0,2011,1311,PICHINCHA,13,MANABI,EC1311,-79.84287388446042,-0.8873853092245215
0,2011,1312,ROCAFUERTE,13,MANABI,EC1312,-80.40580336703673,-0.9057503811389946
0,2011,1313,SANTA ANA,13,MANABI,EC1313,-80.21228810801507,-1.1961259567911624
0,2011,1314,SUCRE,13,MANABI,EC1314,-80.33567259311512,-0.5877080140511323
0,2011,1315,TOSAGUA,13,MANABI,EC1315,-80.27139738064555,-0.7797264841271604
0,2011,1316,24 DE MAYO,13,MANABI,EC1316,-80.37483142168935,-1.382988074013788
0,2011,1317,PEDERNALES,13,MANABI,EC1317,-79.8930376441923,0.09589287021504424
0,2011,1318,OLMEDO,13,MANABI,EC1318,-80.21343759927349,-1.3615286587929398
0,2011,1319,PUERTO LOPEZ,13,MANABI,EC1319,-80.75105344252519,-1.5636677960702676
0,2011,1320,JAMA,13,MANABI,EC1320,-80.2307033571162,-0.22145818021884162
0,2011,1321,JARAMIJO,13,MANABI,EC1321,-80.60393261568784,-0.9755288624793117
0,2011,1322,SAN VICENTE,13,MANABI,EC1322,-80.35921967677349,-0.47750406521826055
0,2011,1401,MORONA,14,MORONA SANTIAGO,EC1401,-78.0620669757598,-2.34270351662947
0,2011,1402,GUALAQUIZA,14,MORONA SANTIAGO,EC1402,-78.65276154210139,-3.3648678591064574
0,2011,1403,LIMON INDANZA,14,MORONA SANTIAGO,EC1403,-78.34805464497254,-3.0386508571688426
0,2011,1404,PALORA,14,MORONA SANTIAGO,EC1404,-78.11301064678717,-1.671696217766988
0,2011,1405,SANTIAGO,14,MORONA SANTIAGO,EC1405,-78.36555143239332,-2.7371169724547455
0,2011,1406,SUCUA,14,MORONA SANTIAGO,EC1406,-78.21148723578612,-2.485848574395466
0,2011,1407,HUAMBOYA,14,MORONA SANTIAGO,EC1407,-77.95662239267305,-1.9842328834824645
0,2011,1408,SAN JUAN BOSCO,14,MORONA SANTIAGO,EC1408,-78.3759686343419,-3.256758376789635
0,2011,1409,TAISHA,14,MORONA SANTIAGO,EC1409,-77.39140316836537,-2.4756669818255417
0,2011,1410,LOGROÐO,14,MORONA SANTIAGO,EC1410,-78.04141088509628,-2.767080948042161
0,2011,1411,PABLO SEXTO,14,MORONA SANTIAGO,EC1411,-78.27580868110726,-1.8584823485321353
0,2011,1412,TIWINTZA,14,MORONA SANTIAGO,EC1412,-77.91124115524471,-2.969433451314401
0,2011,1501,TENA,15,NAPO,EC1501,-77.7912850729956,-0.9809322568502122
0,2011,1503,ARCHIDONA,15,NAPO,EC1503,-77.93359332974573,-0.7190516066108629
0,2011,1504,EL CHACO,15,NAPO,EC1504,-77.67259264131299,-0.25106457818346073
0,2011,1507,QUIJOS,15,NAPO,EC1507,-77.97476713322543,-0.4689706197781751
0,2011,1509,CARLOS JULIO AROSEMENA TOLA,15,NAPO,EC1509,-77.93998552668018,-1.1640706696755128
0,2011,1601,PASTAZA,16,PASTAZA,EC1601,-76.88355451127866,-1.897604987954592
0,2011,1602,MERA,16,PASTAZA,EC1602,-78.04857319262068,-1.4151074401744226
0,2011,1603,SANTA CLARA,16,PASTAZA,EC1603,-77.86425459338359,-1.273624974775665
0,2011,1604,ARAJUNO,16,PASTAZA,EC1604,-76.76369510619348,-1.346759610982578
0,2011,1701,QUITO,17,PICHINCHA,EC1701,-78.51918334944057,-0.10396644842669629
0,2011,1702,CAYAMBE,17,PICHINCHA,EC1702,-78.07462942120677,-0.004124442344442104
0,2011,1703,MEJIA,17,PICHINCHA,EC1703,-78.62956603981567,-0.4919645206788107
0,2011,1704,PEDRO MONCAYO,17,PICHINCHA,EC1704,-78.27672829281954,0.0528929830388689
0,2011,1705,RUMIÐAHUI,17,PICHINCHA,EC1705,-78.44297634654664,-0.4013104574407941
0,2011,1707,SAN MIGUEL DE LOS BANCOS,17,PICHINCHA,EC1707,-78.89384949524826,-0.03816192815613384
0,2011,1708,PEDRO VICENTE MALDONADO,17,PICHINCHA,EC1708,-79.0579694504961,0.14891915205063483
0,2011,1709,PUERTO QUITO,17,PICHINCHA,EC1709,-79.23937275316138,0.1556056296891903
0,2011,1801,AMBATO,18,TUNGURAHUA,EC1801,-78.74969283393872,-1.2783983972283257
0,2011,1802,BAÑOS DE AGUA SANTA,18,TUNGURAHUA,EC1802,-78.27344567466764,-1.3367374620181682
0,2011,1803,CEVALLOS,18,TUNGURAHUA,EC1803,-78.61259804612605,-1.350523787087287
0,2011,1804,MOCHA,18,TUNGURAHUA,EC1804,-78.69397687579446,-1.4174784913478475
0,2011,1805,PATATE,18,TUNGURAHUA,EC1805,-78.4249695024604,-1.2712972484189171
0,2011,1806,QUERO,18,TUNGURAHUA,EC1806,-78.61993799398824,-1.446157089783724
0,2011,1807,SAN PEDRO DE PELILEO,18,TUNGURAHUA,EC1807,-78.53187771615438,-1.3609042147387875
0,2011,1808,SANTIAGO DE PILLARO,18,TUNGURAHUA,EC1808,-78.4524427073566,-1.124187119095137
0,2011,1809,TISALEO,18,TUNGURAHUA,EC1809,-78.68016126220496,-1.366513316957939
0,2011,1901,ZAMORA,19,ZAMORA CHINCHIPE,EC1901,-78.9827799528037,-4.012642848752689
0,2011,1902,CHINCHIPE,19,ZAMORA CHINCHIPE,EC1902,-79.1633077230381,-4.848335505908235
0,2011,1903,NANGARITZA,19,ZAMORA CHINCHIPE,EC1903,-78.76261480818955,-4.342854267250252
0,2011,1904,YACUAMBI,19,ZAMORA CHINCHIPE,EC1904,-78.96697425436963,-3.6074662186710156
0,2011,1905,YANTZAZA,19,ZAMORA CHINCHIPE,EC1905,-78.66454487052597,-3.7472688257789377
0,2011,1906,EL PANGUI,19,ZAMORA CHINCHIPE,EC1906,-78.53549709335562,-3.6228183964135723
0,2011,1907,CENTINELA DEL CONDOR,19,ZAMORA CHINCHIPE,EC1907,-78.74915513504158,-3.935306212809614
0,2011,1908,PALANDA,19,ZAMORA CHINCHIPE,EC1908,-79.09368870905526,-4.569399805975866
0,2011,1909,PAQUISHA,19,ZAMORA CHINCHIPE,EC1909,-78.59547596437598,-3.944513945236578
0,2011,2001,SAN CRISTOBAL,20,GALAPAGOS,EC2001,-89.68423989605222,-0.9438114695450606
0,2011,2002,ISABELA,20,GALAPAGOS,EC2002,-91.22358091258326,-0.5380134516350417
0,2011,2003,SANTA CRUZ,20,GALAPAGOS,EC2003,-90.49599501157287,-0.39804712672589554
0,2011,2101,LAGO AGRIO,21,SUCUMBIOS,EC2101,-76.77654468629038,0.10981557604477112
0,2011,2102,GONZALO PIZARRO,21,SUCUMBIOS,EC2102,-77.58702332125283,0.08171741592164017
0,2011,2103,PUTUMAYO,21,SUCUMBIOS,EC2103,-76.01137911506616,0.07900341035314216
0,2011,2104,SHUSHUFINDI,21,SUCUMBIOS,EC2104,-76.41210606950372,-0.31733388440120375
0,2011,2105,SUCUMBIOS,21,SUCUMBIOS,EC2105,-77.62311669433885,0.4022237420180556
0,2011,2106,CASCALES,21,SUCUMBIOS,EC2106,-77.23281744030164,0.14580576931352024
0,2011,2107,CUYABENO,21,SUCUMBIOS,EC2107,-75.87943871416827,-0.2796805333466442
0,2011,2201,ORELLANA,22,ORELLANA,EC2201,-76.77256816769015,-0.6543325896362622
0,2011,2202,AGUARICO,22,ORELLANA,EC2202,-75.88217387554276,-0.9496470938946058
0,2011,2203,LA JOYA DE LOS SACHAS,22,ORELLANA,EC2203,-76.89155296754723,-0.2800356940711061
0,2011,2204,LORETO,22,ORELLANA,EC2204,-77.35250809334124,-0.6435192787084234
0,2011,2301,SANTO DOMINGO,23,SANTO DOMINGO DE LOS TSACHILAS,EC2301,-79.17680381384585,-0.3060749973094404
0,2011,2401,SANTA ELENA,24,SANTA ELENA,EC2401,-80.5690965350557,-2.136517054709709
0,2011,2402,LA LIBERTAD,24,SANTA ELENA,EC2402,-80.89463848425356,-2.2394559013713717
0,2011,2403,SALINAS,24,SANTA ELENA,EC2403,-80.92040531243458,-2.2594131653746348
0,2011,9001,LAS GOLONDRINAS,90,ZONA NO DELIMITADA,EC9001,-79.07329157585887,0.3186238219101928
0,2011,9003,MANGA DEL CURA,90,ZONA NO DELIMITADA,EC9003,-79.59231717541671,-0.6797452315563862
0,2011,9004,EL PIEDRERO,90,ZONA NO DELIMITADA,EC9004,-79.26741127901886,-2.3746082758580025
